,City Name,Country Code,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,arraial do cabo,BR,-22.97,-42.02,76.12,69,0,9.17
1,kloulklubed,PW,7.04,134.26,78.8,88,90,12.75
2,ponta do sol,BR,-20.63,-46.0,62.84,52,0,0.87
3,jamestown,AU,-33.21,138.6,39.98,91,37,6.76
4,punta arenas,CL,-53.16,-70.91,42.37,93,90,11.41
5,vaini,IN,15.34,74.49,77.78,91,91,4.7
6,sayyan,YE,15.17,44.32,74.36,55,28,0.87
7,palmer,AU,-34.85,139.16,48.67,62,75,18.34
8,ribeira grande,PT,38.52,-28.7,73.4,83,40,6.93
9,albany,US,42.65,-73.75,76.78,57,75,13.87
10,norman wells,CA,65.28,-126.83,59.0,51,20,14.99
11,sorland,NO,67.67,12.69,50.0,87,75,13.87
12,kapaa,US,22.08,-159.32,81.46,74,20,11.41
13,impfondo,CD,1.62,18.06,71.84,87,52,0.85
14,rikitea,PF,-23.12,-134.97,74.18,79,9,17.18
15,ulundi,ZA,-28.29,31.43,52.4,89,95,1.19
16,clovis,US,36.83,-119.7,89.22,31,1,3.36
17,mataura,NZ,-46.19,168.86,48.08,69,100,11.1
18,qaanaaq,GL,77.48,-69.36,46.28,58,100,4.99
19,hermanus,ZA,-34.42,19.24,56.35,81,0,5.01
20,castro,CL,-42.48,-73.76,48.2,87,90,17.22
21,yellowknife,CA,62.45,-114.38,55.18,47,75,19.46
22,chuy,UY,-33.69,-53.46,60.5,96,92,5.88
23,alice springs,AU,-23.7,133.88,44.6,56,1,4.7
24,port alfred,ZA,-33.59,26.89,63.0,79,95,5.01
25,butaritari,KI,3.07,172.79,84.08,75,31,10.54
26,nikolskoye,RU,59.7,30.79,51.44,87,40,6.71
27,tasiilaq,GL,65.61,-37.64,46.4,75,40,8.05
28,barrow,AR,-38.31,-60.23,47.72,74,0,7.67
29,bonavista,CA,48.65,-53.11,50.6,79,2,7.63
30,constitucion,MX,23.99,-104.67,71.8,53,75,8.05
31,pangai,TO,-19.8,-174.35,73.4,78,40,16.11
32,singkang,MY,2.1,102.8,77.0,94,75,2.24
33,muros,ES,42.77,-9.06,74.07,64,0,5.82
34,ushuaia,AR,-54.81,-68.31,41.0,75,40,9.17
35,vung tau,VN,10.35,107.08,78.68,88,64,6.4
36,cape town,ZA,-33.93,18.42,53.53,87,0,4.7
37,chapais,CA,49.78,-74.86,59.0,93,90,10.29
38,byron bay,AU,-28.65,153.62,56.21,93,100,1.12
39,codrington,AU,-28.95,153.24,54.41,76,100,8.05
40,leningradskiy,RU,69.38,178.42,46.64,75,76,5.35
41,malabo,CD,1.56,30.43,63.02,97,74,1.34
42,imuris,MX,30.78,-110.86,105.01,28,79,1.01
43,toppenish,US,46.38,-120.31,79.56,36,1,3.36
44,half moon bay,US,37.46,-122.43,70.57,87,75,6.93
45,luderitz,NA,-26.65,15.16,57.2,76,0,4.7
46,saint-philippe,CA,45.36,-73.48,77.18,65,40,14.99
47,borger,NL,52.92,6.79,63.27,77,90,8.05
48,pevek,RU,69.7,170.27,41.78,85,52,8.66
49,mikuni,JP,36.22,136.15,69.8,88,75,2.24
50,pochutla,MX,15.74,-96.47,87.46,66,75,4.05
51,busselton,AU,-33.64,115.35,45.59,80,100,16.49
52,bluff,AU,-23.58,149.07,54.56,53,32,4.72
53,upernavik,GL,72.79,-56.15,46.64,72,4,0.29
54,charters towers,AU,-20.07,146.27,56.57,82,34,2.84
55,kaitangata,NZ,-46.28,169.85,42.01,75,78,5.21
56,atuona,PF,-9.8,-139.03,79.76,71,24,15.99
57,vila velha,BR,-3.71,-38.6,83.28,66,0,16.11
58,henties bay,NA,-22.12,14.28,55.99,89,0,1.01
59,puerto ayora,EC,-0.74,-90.35,76.78,57,40,17.22
60,carnarvon,ZA,-30.97,22.13,54.2,26,0,5.75
61,kuala terengganu,MY,5.33,103.14,77.0,88,75,3.36
62,namibe,AO,-15.19,12.15,65.0,83,95,7.58
63,bredasdorp,ZA,-34.53,20.04,58.41,77,9,10.29
64,east london,ZA,-33.02,27.91,59.0,87,75,4.7
65,rjukan,NO,59.88,8.59,57.99,65,88,10.0
66,ibra,OM,22.69,58.55,76.52,63,0,3.15
67,khatanga,RU,71.98,102.47,51.68,64,100,8.61
68,cortez,US,37.35,-108.58,87.73,17,1,3.36
69,lockhart,AU,-35.22,146.72,41.88,93,0,11.41
70,tuktoyaktuk,CA,69.44,-133.03,42.8,75,75,4.7
71,bilibino,RU,68.06,166.44,74.54,37,7,5.1
72,merauke,ID,-8.49,140.4,75.62,79,100,20.54
73,batagay-alyta,RU,67.8,130.41,67.88,48,33,3.18
74,erenhot,CN,43.65,111.97,71.12,49,4,7.11
75,qasigiannguit,GL,68.82,-51.19,44.6,87,75,4.7
76,kiyevskoye,RU,45.04,37.89,62.6,88,40,4.47
77,cabo san lucas,MX,22.89,-109.91,86.56,74,20,9.17
78,saint peter,US,44.32,-93.96,78.28,74,1,4.7
79,kruisfontein,ZA,-34.0,24.73,53.48,93,7,10.02
80,celestun,MX,20.87,-90.4,83.18,77,100,11.86
81,sarai alamgir,PK,32.9,73.75,90.38,57,1,8.72
82,aden,YE,12.79,45.03,89.12,57,100,9.44
83,teguldet,RU,57.31,88.17,54.02,65,47,3.94
84,talnakh,RU,69.49,88.39,57.2,87,40,11.18
85,nome,US,30.04,-94.42,93.7,63,40,10.29
86,marawi,PH,8.0,124.29,73.0,94,100,4.0
87,vila franca do campo,PT,37.72,-25.43,73.4,73,40,10.29
88,kolobrzeg,PL,54.18,15.58,64.0,68,96,11.32
89,longyearbyen,NO,78.22,15.63,44.6,70,75,16.11
90,new norfolk,AU,-42.78,147.06,40.6,75,40,9.17
91,ravar,IR,31.27,56.81,78.68,17,0,5.26
92,faanui,PF,-16.48,-151.75,77.06,70,61,1.7
93,paamiut,GL,61.99,-49.67,41.42,89,45,11.14
94,coquimbo,CL,-29.95,-71.34,60.3,71,0,13.87
95,inhambane,MZ,-23.87,35.38,68.0,88,0,3.36
